id,title,description,image_link,link,price,"City name","Property type",Address,"Listing type"
135212,"Chalet Independiente en alquiler en Benahavís - Málaga | Gilmar","5 hab, 5 baños, 800 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2019-03/1df05387-2a15-4b2a-b714-6a98aa1b81f0/IMG_9408.JPG?w=1440,https://www.gilmar.es/inmueble/alquilar-chalet-benahavis-malaga-referencia-135212/,"9,000.00 EUR",Benahavís,"Chalet Independiente","36.5128516800078, -5.01421408403619",Alquilar
167485,"Apartamento en venta en Málaga Este - Málaga | Gilmar Consulting","1 hab, 2 baños, 87 m²",https://gilmar.cloudimg.io/v7/_galeria_/gilmar-estamos-esperando-fotos-es.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-malaga-este-malaga-referencia-167485/,"295,700.00 EUR","Málaga Este",Apartamento,"36.7379390207087, -4.40182775890635",Comprar
179334,"Nave Industrial en alquiler en Cruz de Humilladero - Málaga | Gilmar","1304 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2022-10/828e0333-c422-4745-85de-871075c82e02/WhatsApp%20Image%202022-10-10%20at%2017.02.26%20-%20copia.jpeg?w=1440,https://www.gilmar.es/inmueble/alquilar-nave-cruz-de-humilladero-malaga-referencia-179334/,"8,400.00 EUR","Cruz de Humilladero","Locales e Inversiones","36.7125118413491, -4.47500136577853",Alquilar
180913,"Chalet Adosado en alquiler en Casares - Málaga | Gilmar Consulting","3 hab, 3 baños, 166 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2022-12/927810d9-d495-43fe-b3fd-6b8be24c81ad/_X2A7761.jpg?w=1440,https://www.gilmar.es/inmueble/alquilar-chalet-casares-malaga-referencia-180913/,"1,800.00 EUR",Casares,"Chalet Adosado","36.3751458535322, -5.22180988060173",Alquilar
181225,"Piso en venta en Málaga Este - Málaga | Gilmar Consulting Inmobiliario","4 hab, 3 baños, 175 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2022-12/463e1007-2fde-4fa5-be95-db69b2807e48/01.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-malaga-este-malaga-referencia-181225/,"795,700.00 EUR","Málaga Este",Piso,"36.7275622, -4.3954662",Comprar
181226,"Piso en venta en Málaga Este - Málaga | Gilmar Consulting Inmobiliario","4 hab, 3 baños, 171 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2022-12/463e1007-2fde-4fa5-be95-db69b2807e48/01.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-malaga-este-malaga-referencia-181226/,"795,700.00 EUR","Málaga Este",Piso,"36.7275622, -4.3954662",Comprar
181228,"Piso en venta en Málaga Este - Málaga | Gilmar Consulting Inmobiliario","4 hab, 3 baños, 171 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2022-12/463e1007-2fde-4fa5-be95-db69b2807e48/01.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-malaga-este-malaga-referencia-181228/,"860,900.00 EUR","Málaga Este",Piso,"36.7275622, -4.3954662",Comprar
181229,"Piso en venta en Málaga Este - Málaga | Gilmar Consulting Inmobiliario","3 hab, 3 baños, 157 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2022-12/463e1007-2fde-4fa5-be95-db69b2807e48/01.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-malaga-este-malaga-referencia-181229/,"920,900.00 EUR","Málaga Este",Piso,"36.7275622, -4.3954662",Comprar
181230,"Piso en venta en Málaga Este - Málaga | Gilmar Consulting Inmobiliario","3 hab, 3 baños, 153 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2022-12/463e1007-2fde-4fa5-be95-db69b2807e48/01.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-malaga-este-malaga-referencia-181230/,"930,900.00 EUR","Málaga Este",Piso,"36.7275622, -4.3954662",Comprar
181231,"Ático en venta en Málaga Este - Málaga | Gilmar Consulting","4 hab, 3 baños, 150 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2022-12/463e1007-2fde-4fa5-be95-db69b2807e48/01.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-malaga-este-malaga-referencia-181231/,"1,220,000.00 EUR","Málaga Este",Ático,"36.7275622, -4.3954662",Comprar
181232,"Piso en venta en Málaga Este - Málaga | Gilmar Consulting Inmobiliario","4 hab, 3 baños, 175 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2022-12/463e1007-2fde-4fa5-be95-db69b2807e48/01.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-malaga-este-malaga-referencia-181232/,"785,700.00 EUR","Málaga Este",Piso,"36.7275622, -4.3954662",Comprar
181233,"Piso en venta en Málaga Este - Málaga | Gilmar Consulting Inmobiliario","4 hab, 3 baños, 175 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2022-12/463e1007-2fde-4fa5-be95-db69b2807e48/01.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-malaga-este-malaga-referencia-181233/,"890,900.00 EUR","Málaga Este",Piso,"36.7275622, -4.3954662",Comprar
181235,"Piso en venta en Málaga Este - Málaga | Gilmar Consulting Inmobiliario","4 hab, 3 baños, 175 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2022-12/463e1007-2fde-4fa5-be95-db69b2807e48/01.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-malaga-este-malaga-referencia-181235/,"990,900.00 EUR","Málaga Este",Piso,"36.7275622, -4.3954662",Comprar
181236,"Piso en venta en Málaga Este - Málaga | Gilmar Consulting Inmobiliario","4 hab, 3 baños, 171 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2022-12/463e1007-2fde-4fa5-be95-db69b2807e48/01.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-malaga-este-malaga-referencia-181236/,"970,900.00 EUR","Málaga Este",Piso,"36.7275622, -4.3954662",Comprar
181237,"Ático en venta en Málaga Este - Málaga | Gilmar Consulting","4 hab, 3 baños, 153 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2022-12/463e1007-2fde-4fa5-be95-db69b2807e48/01.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-malaga-este-malaga-referencia-181237/,"1,250,000.00 EUR","Málaga Este",Ático,"36.7275622, -4.3954662",Comprar
181238,"Ático en venta en Málaga Este - Málaga | Gilmar Consulting","4 hab, 3 baños, 150 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2022-12/463e1007-2fde-4fa5-be95-db69b2807e48/01.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-malaga-este-malaga-referencia-181238/,"1,190,000.00 EUR","Málaga Este",Ático,"36.7275622, -4.3954662",Comprar
181197,"Piso en venta en Carretera de Cádiz - Málaga | Gilmar Consulting","2 hab, 2 baños, 80 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2022-12/ec5eb5b1-f18d-4e1b-b5ae-f9a7d864e02b/01.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-carretera-de-cadiz-malaga-referencia-181197/,"276,000.00 EUR","Carretera de Cádiz",Piso,"36.6982097, -4.4468369",Comprar
181196,"Piso en venta en Carretera de Cádiz - Málaga | Gilmar Consulting","3 hab, 2 baños, 87 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2022-12/ec5eb5b1-f18d-4e1b-b5ae-f9a7d864e02b/01.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-carretera-de-cadiz-malaga-referencia-181196/,"298,300.00 EUR","Carretera de Cádiz",Piso,"36.6982097, -4.4468369",Comprar
181195,"Piso en venta en Carretera de Cádiz - Málaga | Gilmar Consulting","2 hab, 2 baños, 75 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2022-12/ec5eb5b1-f18d-4e1b-b5ae-f9a7d864e02b/01.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-carretera-de-cadiz-malaga-referencia-181195/,"263,000.00 EUR","Carretera de Cádiz",Piso,"36.6982097, -4.4468369",Comprar
181193,"Piso en venta en Carretera de Cádiz - Málaga | Gilmar Consulting","2 hab, 2 baños, 80 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2022-12/ec5eb5b1-f18d-4e1b-b5ae-f9a7d864e02b/01.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-carretera-de-cadiz-malaga-referencia-181193/,"273,300.00 EUR","Carretera de Cádiz",Piso,"36.6982097, -4.4468369",Comprar
181188,"Piso en venta en Carretera de Cádiz - Málaga | Gilmar Consulting","2 hab, 2 baños, 80 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2022-12/ec5eb5b1-f18d-4e1b-b5ae-f9a7d864e02b/01.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-carretera-de-cadiz-malaga-referencia-181188/,"270,700.00 EUR","Carretera de Cádiz",Piso,"36.6982097, -4.4468369",Comprar
181187,"Piso en venta en Carretera de Cádiz - Málaga | Gilmar Consulting","3 hab, 3 baños, 87 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2022-12/ec5eb5b1-f18d-4e1b-b5ae-f9a7d864e02b/01.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-carretera-de-cadiz-malaga-referencia-181187/,"278,300.00 EUR","Carretera de Cádiz",Piso,"36.6982097, -4.4468369",Comprar
181186,"Piso en venta en Carretera de Cádiz - Málaga | Gilmar Consulting","2 hab, 2 baños, 75 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2022-12/ec5eb5b1-f18d-4e1b-b5ae-f9a7d864e02b/01.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-carretera-de-cadiz-malaga-referencia-181186/,"258,200.00 EUR","Carretera de Cádiz",Piso,"36.6982097, -4.4468369",Comprar
181184,"Piso en venta en Carretera de Cádiz - Málaga | Gilmar Consulting","2 hab, 2 baños, 80 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2022-12/ec5eb5b1-f18d-4e1b-b5ae-f9a7d864e02b/01.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-carretera-de-cadiz-malaga-referencia-181184/,"276,700.00 EUR","Carretera de Cádiz",Piso,"36.6982097, -4.4468369",Comprar
181178,"Piso en venta en Carretera de Cádiz - Málaga | Gilmar Consulting","1 hab, 1 baños, 63 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2022-12/ec5eb5b1-f18d-4e1b-b5ae-f9a7d864e02b/01.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-carretera-de-cadiz-malaga-referencia-181178/,"200,700.00 EUR","Carretera de Cádiz",Piso,"36.6982097, -4.4468369",Comprar
181185,"Piso en venta en Carretera de Cádiz - Málaga | Gilmar Consulting","3 hab, 2 baños, 92 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2022-12/ec5eb5b1-f18d-4e1b-b5ae-f9a7d864e02b/01.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-carretera-de-cadiz-malaga-referencia-181185/,"313,200.00 EUR","Carretera de Cádiz",Piso,"36.6982097, -4.4468369",Comprar
181179,"Piso en venta en Carretera de Cádiz - Málaga | Gilmar Consulting","1 hab, 1 baños, 66 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2022-12/ec5eb5b1-f18d-4e1b-b5ae-f9a7d864e02b/01.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-carretera-de-cadiz-malaga-referencia-181179/,"213,000.00 EUR","Carretera de Cádiz",Piso,"36.6982097, -4.4468369",Comprar
187556,"Bajo en venta en Estepona - Málaga | Gilmar Consulting Inmobiliario","2 hab, 2 baños, 120 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2023-06/bb0dee60-5a5d-44b8-a45c-0f959065e64f/Aedas_r10_Integracion01.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-estepona-malaga-referencia-187556/,"455,000.00 EUR",Estepona,Bajo,"36.4247216091343, -5.1623945350349",Comprar
187570,"Piso en venta en Estepona - Málaga | Gilmar Consulting Inmobiliario","4 hab, 3 baños, 168 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2023-06/51855e90-3976-44e9-95d4-23dea0938f72/Aedas_r10_Integracion01.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-estepona-malaga-referencia-187570/,"844,000.00 EUR",Estepona,Piso,"36.4199852788481, -5.15874102239797",Comprar
187617,"Piso en alquiler en Centro (Málaga) - Málaga | Gilmar Consulting","3 hab, 3 baños, 167 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2023-06/325bc133-5919-4f49-b9e0-d1191500fe19/salon%20San%20agustin.jpg?w=1440,https://www.gilmar.es/inmueble/alquilar-piso-centro-malaga-malaga-referencia-187617/,"4,500.00 EUR","Centro (Málaga)",Piso,"36.7222242128667, -4.42114296615247",Alquilar
181005,"Apartamento en venta en Mijas - Málaga | Gilmar Consulting","3 hab, 2 baños, 121 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2022-12/9f9776a8-564e-46a4-8acd-f8aa13fc11ea/P11660-brida-Camara02%20grava.jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-mijas-malaga-referencia-181005/,"326,000.00 EUR",Mijas,Apartamento,"36.5206221, -4.652779",Comprar
129625,"Chalet Independiente en venta en Estepona - Málaga | Gilmar Consulting","5 hab, 4 baños, 375.0 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2018-10/b3039a6d-92bb-4dfe-9e05-76e1eb41a82f/2.JPG?w=1440,https://www.gilmar.es/inmueble/comprar-chalet-estepona-malaga-referencia-129625/,"1,250,000.00 EUR",Estepona,"Chalet Independiente","36.44222783625076, -5.184634660576674",Comprar
192575,"Chalet Pareado en venta en Marbella Este - Málaga | Gilmar Consulting","3 hab, 3 baños, 86.0 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2023-12/0606a7e4-ebdf-48e6-aa64-4e4ae5f753df/_CMC0207%20(FILEminimizer).jpg?w=1440,https://www.gilmar.es/inmueble/comprar-chalet-marbella-este-malaga-referencia-192575/,"450,000.00 EUR","Marbella Este","Chalet Pareado","36.50578045327578, -4.8066629874113085",Comprar
169024,"Chalet Independiente en venta en Estepona Este - Málaga | Gilmar","16 hab, 16 baños, 890.28 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2022-02/06b0e586-a0ca-413e-8d0f-df8f132b466c/DSC_0977%20(FILEminimizer).jpg?w=1440,https://www.gilmar.es/inmueble/comprar-chalet-estepona-este-malaga-referencia-169024/,"13,950,000.00 EUR","Estepona Este","Chalet Independiente","36.46913400742496, -5.031096589857426",Comprar
189376,"Apartamento en venta en Milla de Oro - Marb. Club - Málaga | Gilmar","3 hab, 4 baños, 306.0 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2023-09/7965fd87-e879-427f-9fff-5f5bc2ed0561/_CMC7355%20(FILEminimizer).jpg?w=1440,https://www.gilmar.es/inmueble/comprar-piso-milla-de-oro-marb-club-malaga-referencia-189376/,"1,450,000.00 EUR","Milla de Oro - Marb. Club",Apartamento,"36.521216472203854, -4.915097520500993",Comprar
173195,"Chalet Independiente en alquiler en Alhaurín de la Torre - Málaga","4 hab, 6 baños, 300.0 m²",https://gilmar.cloudimg.io/v7/_imagenes_/2024-02/46399e2e-a493-4a53-a7ea-649d37926bb5/PHOTO-2024-02-20-17-08-45%202.jpg?w=1440,https://www.gilmar.es/inmueble/alquilar-chalet-alhaurin-de-la-torre-malaga-referencia-173195/,"3,800.00 EUR","Alhaurín de la Torre","Chalet Independiente","36.661958222198436, -4.530243691662208",Alquilar
